game_date,opponent,venue,inning_number,top_or_bottom,pitcher_name,pitcher_team,pitcher_lefty,batter_name,batter_team,batter_lefty,balls,strikes,outs_before,pitch_type_name,pitch_result,atbat_result,velo,pitch_locheight,pitch_locside,ball_in_play_direction,ball_in_play_distance,inplay_value,angle,atbat_result_id,autopitchtype,awayteam,ax_fts,ay_fts,az_fts,batter_team_id,batterside,bearing,carry_distance,carry_flight_time_s,contactpositionx,contactpositiony,contactpositionz,date,direction,exitspeed,external_id,game_key,gameuid,gorout_horizontal_location_intent,gorout_horizontal_location_result,gorout_score_horizontal,gorout_score_vertical,gorout_vertical_location_intent,gorout_vertical_location_result,hit_location,hitspinrate,hitter_external_id,hitter_internal_id,hittype,hometeam,inning,inning_pitch_number,inplay_value_id,korbb,lasttrackeddistance,league,level,man_on_first,man_on_second,man_on_third,outs,outsonplay,paofinning,performance_data_key,pfxx_in,pfxz_in,pitch_approach_h,pitch_approach_v,pitch_break_h_in,pitch_break_v_in,pitch_extension_ft,pitch_id,pitch_launch_h,pitch_launch_v,pitch_number,pitch_release_height_ft,pitch_release_side_ft,pitch_result_id,pitch_spin_axis,pitch_spin_rpm,pitch_spin_tilt,pitch_time_s,pitch_type,pitch_zone_speed_mph,pitchcall,pitcher_external_id,pitcher_internal_id,pitcher_team_id,pitcherset,pitcherthrows,pitchofpa,pitchuid,platelocheight,platelocside,playresult,positionatx,positionaty,positionatz,relspeed,runsscored,session_id,session_type,stadium,taggedpitchtype,time,timestamp,topbottom,tracking_type,vertbreak,vx_fts,vy_fts,vz,x0_ft,y,z0_ft
2025-05-17,Butler High School,Butler High School,6,Top,Koby Dues,Butler High School,False,Cooper Ridley,Moeller,True,2,0,1,Fast Ball,Strike Swing and Miss,,85,3.300,-0.100,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554993,,,,24,0,,,,,False,True,False,,,,ph_28069896,,,,,,,,28069896,,,3,,,30,,,,,1,,,,661129,79198,,,,,,,,,,,,,mg_492443,game,,,8:18:59 PM,1747527539,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Top,Koby Dues,Butler High School,False,Cooper Ridley,Moeller,True,2,1,1,Fast Ball,Strike In Play,Ground Out,85,2.700,0.200,9.52,138.80,Ground Ball,,2,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,4-3,,,554993,,,,25,20,,,,,False,True,False,,,,ph_28069907,,,,,,,,28069907,,,4,,,50,,,,,1,,,,661129,79198,,,,,,,,,,,,,mg_492443,game,,,8:19:16 PM,1747527556,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Top,Koby Dues,Butler High School,False,Jake Bell,Moeller,False,0,0,2,Fast Ball,Strike Swing and Miss,,83,2.800,0.400,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554892,,,,26,0,,,,,False,False,True,,,,ph_28069920,,,,,,,,28069920,,,1,,,30,,,,,1,,,,661129,79198,,,,,,,,,,,,,mg_492443,game,,,8:19:53 PM,1747527593,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Top,Koby Dues,Butler High School,False,Jake Bell,Moeller,False,0,1,2,Fast Ball,Ball,,83,2.200,1.800,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554892,,,,27,0,,,,,False,False,True,,,,ph_28069928,,,,,,,,28069928,,,2,,,1,,,,,1,,,,661129,79198,,,,,,,,,,,,,mg_492443,game,,,8:20:09 PM,1747527609,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Top,Koby Dues,Butler High School,False,Jake Bell,Moeller,False,1,1,2,Fast Ball,Strike In Play,Fly Out,85,2.700,0.400,-23.56,218.91,Fly Ball,,4,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,7,,,554892,,,,28,100,,,,,False,False,True,,,,ph_28069941,,,,,,,,28069941,,,3,,,50,,,,,1,,,,661129,79198,,,,,,,,,,,,,mg_492443,game,,,8:20:26 PM,1747527626,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Jackson Schilling,Butler High School,False,0,0,0,Fast Ball,Ball,,87,0.500,1.300,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661107,,,,1,0,,,,,False,False,False,,,,ph_28069994,,,,,,,,28069994,,,1,,,1,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:22:37 PM,1747527757,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Jackson Schilling,Butler High School,False,1,0,0,Change Up,Strike Looking,,75,2.400,-0.100,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661107,,,,2,0,,,,,False,False,False,,,,ph_28070003,,,,,,,,28070003,,,2,,,20,,,,,11,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:22:49 PM,1747527769,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Jackson Schilling,Butler High School,False,1,1,0,Change Up,Ball,,77,0.400,-0.800,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661107,,,,3,0,,,,,False,False,False,,,,ph_28070006,,,,,,,,28070006,,,3,,,1,,,,,11,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:23:01 PM,1747527781,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Jackson Schilling,Butler High School,False,2,1,0,Fast Ball,Ball,,85,3.900,0.500,0.00,0.00, -- ,,0,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,661107,,,,4,0,,,,,False,False,False,,,,ph_28070014,,,,,,,,28070014,,,4,,,1,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:23:18 PM,1747527798,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,6,Bottom,Luke Pappano,Moeller,True,Jackson Schilling,Butler High School,False,3,1,0,Fast Ball,Strike In Play,Fly Out,86,3.200,-0.100,7.52,240.85,Fly Ball,,4,,,,,,79198,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,8,,,661107,,,,5,100,,,,,False,False,False,,,,ph_28070021,,,,,,,,28070021,,,5,,,50,,,,,1,,,,561318,58177,,,,,,,,,,,,,mg_492443,game,,,8:23:36 PM,1747527816,,Charted,,,,,,,
